Innovation / Development,Frontier,buzz (google returns for each keyword),type,now,2025,2030,2040,2050,beyond,,Source(s),URL,URL,URL,URL,URL,URL,URL,URL
GOVERNANCE,,,,,,,,,,,,,,,,,,,
Government dot com,Governance,"149,000",innovation,Governments use social media and other data-driven media to engage citizens. ,Social media provides constant stream of localised data for governments to analyse sentiment & track the effectiveness of their services.,"Beta Government. Policy makers apply the 'agile software development model' to policy. Prototypes, pilots, trials, etc.","Governments build platforms, hold partners accountable, manage crowdsourced campaigns etc.","Operational shortcomings addressed using tech and citizen input. One online space for all services, and one physical space in each locale, streamlines govt. ","Alternatives to GDP take hold. Holistic yardsticks for national progress, e.g. sustainability, health, inclusion, personal freedom... replace GDP as primary measure. ",,"Deloitte, TheVerge, KMPG",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://www.theverge.com/2014/8/23/6058299/our-future-government-will-work-more-like-amazon,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,,,,,
Triple Bottom Line ,Governance,"1,420,000",innovation, ESG accounting commonplace. Divestment of fossil fuel assets encouraged.,Government encourages 'triple-bottom line' businesses - focus on social and environmental goals in addition to financial ones. Multi-trillion-dollar capital markets emerge for social outcomes,"Triple Sector State. Government, business, citizens collaborate to shape the state.","Triple Sector Democracy. Citizens work at solving problems through social, mobile and cloud tech, e.g. micro-tasking, peer-to-peer models. ",,,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,,,,,,,
Collaborative governance,Governance,"263,000",development,"Government works with NGOs, corporations, social enterprises and citizens - and other non-state problem solvers.","Reduced, optimised civil service attracts top talent. Return of 'parastatals', linking of political will & private resources. ",Physical and online innovation spaces - government works with citizens and companies to come up with new ideas and crowd-source policies.,"""Patient Capitalism"" Long-term investment in major infrastructure projects bring government and businesses together. ",Demarchy: rulers are randomly chosen from a pool of selected decision-makers. Term coined by philosopher John Burnheim ,Government allows cities a more active & empowered role - more funding & more authority. ,,"Deloitte, J. Burnheim, WEC, McKinsey, KMPG",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://ses.library.usyd.edu.au/bitstream/2123/2402/1/Frontmatter-is_democracy_possible.pdf,http://www3.weforum.org/docs/EU11/WEF_EU11_FutureofGovernment_Report.pdf,http://www.mckinsey.com/insights/public_sector/the_rise_of_hybrid_governance,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,,,
Data-driven policy,Governance,37300,innovation,"Big data improves tracking of performance and outcomes, allowing regulators to focus more on achieving goals and less on processes. ","Advanced algorithms provide rich, live data that informs government decision-making.",Preemptive Government. Data used to generate predictive models for government. Resources shifted from reaction to prevention.,,"Cyberocracy: emphasises symbolic, cultural, psychological aspects of policymaking. Information unbound, unchannelled. Eventually leads to AI civil service, or even AI head of state. ",,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,,,,,,,
Citizen-consumers,Governance,41900,innovation,Staffing cloud. Permanent employees act as consultants. Flexible teams formed to focus on specific projects.,"Co-creation means people are more invested in government, and engagement increases. New opportunities for national and global problem solving through mass collaboration on vast data sets. ","Governments work with citizens to address challenges, e.g. climate change. ",,"Noocracy: government of the wise, global brain, 'syntellect', hive-mind. Stems from Plato's 'government of the wise' concept. Popularised by Vladimir Vernadsky.",,,"Deloitte, Vladimir Vernadsky",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://www.academia.edu/3989329/The_Biosphere_and_the_Noosphere_Theories_of_V._I._Vernadsky_and_P._Teilhard_de_Chardin_A_Methodological_Essay,,,,,,
Cloud,Governance,"23,900",innovation,"Governments can faces challenges in delivering public services - reaching both the hyper-connected and the poor, elderly, deeply rural segments who aren't connected. ",,Collaborative Cloud. Interactive cloud platforms faciliate engagement by citizen-consumers.,,"Cloud States. Extra-territorial initiatives, cross-border connectivity. State boundaries blurred & dissolve as interaction, debate and creation spans borders. ",,,,,,,,,,,
Data Transparency,Governance,"381,000",development,Policies and norms around privacy in age of data breaches & IoT becomes a regulatory and ethical issue for government. ,Targeted transparency. Public demands government and corporate disclosure. Easily-accessible data is made available. ,Radical transparency - maximally increased openness in process and data access - becomes the norm. ,,,Radical transparency becomes the law,,"Deloitte, Museum of Future Government",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://museum.governmentsummit.org/2015/,,,,,,
PUBLIC SERVICES,,,,,,,,,,,,,,,,,,,
Consumerised public services,Public Services,15,innovation,"Citizens are more aware of their rights, have better access to info and higher expectations of services. ","Franchised Services. Business style models for public services - especially utilities, education, healthcare - become the international norm.","Agile Services. Public services follow the path of startups like Uber - digital, user-friendly, agile - satisfies demand. ",,Public Service EcoSystem. Police and other authorities treated like any other service providers - i.e. can be rejected and an alternative sought. Technology assists with this (e.g. police bodycams).,,,"Deloitte, McKinsey, PwC",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://www.mckinsey.com/insights/public_sector/the_servant_state,https://www.pwc.com/gx/en/psrc/publications/assets/pwc_future_of_government_pdf.pdf,,,,,
Self service public services,Public Services,4,innovation,"Medical tourism, outsourcing service delivery, best-in-class governments help other governments, etc.","Fully technology-enabled self-service of government services (vehicle registration, income tax etc) expanding.",Hyperlocal services. Neighbourhoods crowdfund their own needs. Services like higher education partially released from government. ,"public sector organisations transform from big, all-in-one giants to small, flexible, purpose-driven entities.","Operational shortcomings addressed using tech and citizen input. One online space for all services, and one physical space in each locale streamlines govt. ",,,"Deloitte, Museum of Future Government",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://museum.governmentsummit.org/2015/,,,,,,
Innovative Pricing Models,Public Services,"12,600",development,,"Pay-as-you-go systems for public services, which helps to balance demand and provision. Fuel tax replaced with mileage fees.  ","Potential small direct payments using mobile payment apps, for use of public services, e.g. parks, hospitals. ",,,,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,,,,,,,
POPULATIONS,,,,,,,,,,,,,,,,,,,
Global migration,Demographics,"838,000",development,"Global nomadic citizens, using sharing economy, locate themselves anywhere in the world","Immigration policies are somewhat relaxed as a result of globalisation, improved education and shortage of local talent. Refugees further increase as resources grow scarce in parts of the world.",,,"Major cities will increase in population by 20.6% as urbanisation continues (by contrast, non-cities population will increase by 12.3% with general population growth).",,,"Deloitte, UK Gov",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://www.gov.uk/government/collections/future-of-cities,,,,,,
Aging population,Demographics,"4,650,000",development,"Policies have to take into account an increasingly large dependent segment. Pension reforms to reduce intergenerational inequality, e.g. raising the age of retirement, changing eligibility etc. ",Aging workforces and lack of skilled technical talent drives freelance economy. Governments work with companies and organisations to address skills gap - a nation's talent levels drive their economy. ,Population aging pushes healthcare & pension spending up 4.4% of GDP by 2030. 13% of the world population is 65+ (versus 8% today),"Aging population. Longer lifespans, higher IQ, restoration of hearing and vision etc, all pose regulatory and ethical challenges. Older employed saturate the jobs market.","Aged Population. Majority of the adult population now over 65 has substantial effect
on governmental & social policy and make-up.","Gerontocracy: The ageing population wields all the power, the young live as outsiders. ",,"Deloitte, KMPG",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://www.cesifo-group.de/portal/pls/portal/!PORTAL.wwpob_page.show?_docname=1064072.PDF,,,,
Population decline in west,Demographics,"1,400,000",development,,,Decline of the working age population impacts economic policy. ,,,,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,,,,,,,
Population growth in east,Demographics,"1,400,000",development,"Nations with young populations, e.g. India, see economic growth stem from large working-age segment. ",,By 2030 China and India will account for 35% of world population ,,,,,"Deloitte, KMPG",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,,,,,,
Socio-economic status of women,Demographics,"7,340,000",development,"Women expand the global workforce, influencing political and economic policy worldwide.",,,,,,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,,,,,,,
SOCIAL TECHNOLOGY,,,,,,,,,,,,,,,,,,,
Megacities,Social technology,"2,130,000",development,Around 7% of people live in cities with 8-figure populations (10's of millions per city),Urbanisation and city growth creates megacities - near-autonomous hubs where initatives can be tested. No. of megacities (pop 10m+) will increase from 20 today to 37 in 2025,Slums continue to grow - providing infrastructure and amenities to poverty-stricken urban areas become important policy points. Number of people living in city slums to double by 2030 (from 1bn to 2bn),,,Seasteading: autonomous modular city states floating on oceans. ,,"Deloitte, The Economist, KMPG, UN",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://www.economist.com/node/21540395,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,http://www.un.org/en/development/desa/population/publications/pdf/urbanization/the_worlds_cities_in_2016_data_booklet.pdf,,,,
Smart Cities,Social technology,"14,500,000",innovation,,"Smart city applications deployed in at least 50 cities globally. Key sectors: security, utilities, healthcare, & economic development, housing & community.  ","Major tech companies build experimental smart cities, which include things like heated roads, modular housing, clean energy, autonomous vehicles, high-speed networks etc.  ","The streets will speak, literally. Offering information and services. ","Cost of living lowered, crime reduced 30-40%, first responders arrive 2-17mins faster, commute times cut 15-20%, impact of air pollution reduced 8-15%, emissions lowered 10-15%, solid waste & water use cut, public report problems & weigh in on planning, neighbours are linked, 1-3% boost in employment.",,,"Business Insider, Museum of Future Gov, McKinsey",http://uk.businessinsider.com/bill-gates-smart-city-pros-cons-arizona-urban-planners-2017-11,http://uk.businessinsider.com/alphabets-sidewalk-labs-reveals-plan-for-quayside-in-toronto-2018-8,http://museum.governmentsummit.org/2015/,https://www.mckinsey.com/~/media/mckinsey/industries/capital%20projects%20and%20infrastructure/our%20insights/smart%20cities%20digital%20solutions%20for%20a%20more%20livable%20future/mgi-smart-cities-snapshot.ashx,https://www.mckinsey.com/industries/capital-projects-and-infrastructure/our-insights/smart-cities-digital-solutions-for-a-more-livable-future,,,
Sharing economy,Social technology,"5,530,000",development,"Rideshares, food sharing, skills sharing etc., changes the way cities operate and reduces pressure on government services and infrastructure. ",,,,"Reputation Economy. Ebay style ratings of workers & employers creates a technology-mediated
marketplace where reputation is the singular currency.",,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,,,,,,,
Driverless vehicles,Social technology,"510,000",innovation,"Driverless cars tested on roads in the UK, the US, & China. ",Initial prototypes and small scale services introduced.,"Driverless vehicles successfully emerge, using a combination of deep machine learning & computer vision for object recognition.",,Driverless vehicles unbiquitous. High-value real estate currently used for parking freed up for other uses. ,,,"UK Gov, Financial Times",https://www.gov.uk/government/collections/future-of-cities,https://www.ft.com/content/aa8fdab8-34cd-11e8-8b98-2f31af407cc8,https://www.ft.com/content/3b68b170-dc8c-11e8-8f50-cbae5495d92b,https://www.ft.com/content/86dd5c36-dcd3-11e8-9f04-38d397e6661c,,,,
Efficient Social Media,Social technology,"1,130,000,000",development,"Social media used increasingly to organize protests, shape cultural narratives, and pressurise governments and policy.",,,,,,,,,,,,,,,
